Feed of hostnames found in certificate transparency logs that are related to the COVID-19 pandemic.

Disclaimer:
Not every hostname in this list is malicious. This is just a feed of hostnames that appear
to be related to COVID-19. While this feed is useful for hunting for COVID-19 scams / malware,
there are likely legitimate sites in this data.

Changelog:
- Sat Mar 14 14:35:56 CDT 2020 -- initial release. started scanning last night
  so collection has been running about 18 hours at this point. Also updated
  collection logic to account for potential false positives.

- Sat Mar 14 15:13:45 CDT 2020 -- Added timestamp to feed.
  Timestamps with "2020-03-14 15:11:20.684411" were before I added timestamp support

- Sun Mar 15 16:53:14 CDT 2020 -- changed feed data to be CSV format

Feed:
date,time,hostname
2020-03-14,15:11:20.684411,2020coronavirus.org
2020-03-14,15:11:20.684411,99coronavirus.com
2020-03-14,15:11:20.684411,acercacovid-19.pt
2020-03-14,15:11:20.684411,acoronaviruscure.com
2020-03-14,15:11:20.684411,againstcovid19.cuhk.edu.hk
2020-03-14,15:11:20.684411,alarmacoronavirus.surgever.com
2020-03-14,15:11:20.684411,anothercovid19plot.altervista.org
2020-03-14,15:11:20.684411,*.anticoronavirus.cloud
2020-03-14,15:11:20.684411,anticoronavirus.cz
2020-03-14,15:11:20.684411,anticoronaviruskit.com
2020-03-14,15:11:20.684411,*.anticoronavirustienda.com
2020-03-14,15:11:20.684411,api.coronavirusstop.org
2020-03-14,15:11:20.684411,arhcovid19.com
2020-03-14,15:11:20.684411,artistsagainstcovid19.com
2020-03-14,15:11:20.684411,ashevillecoronavirus.com
2020-03-14,15:11:20.684411,bangkok-covid-19-update.com
2020-03-14,15:11:20.684411,bbs.4covid19.club
2020-03-14,15:11:20.684411,beatcovid19tees.com
2020-03-14,15:11:20.684411,brasilsemcoronavirus.com.br
2020-03-14,15:11:20.684411,*.californiacoronaviruslaw.com
2020-03-14,15:11:20.684411,canepicworkfromhomeduetocoronavirusyet.com
2020-03-14,15:11:20.684411,casosdecoronavirus.com
2020-03-14,15:11:20.684411,cbsa-asfc-covid-19-info.ca
2020-03-14,15:11:20.684411,celebswithcoronavirus.com
2020-03-14,15:11:20.684411,checktoncoronavirus.fr
2020-03-14,15:11:20.684411,chicagocovid19responsefund.org
2020-03-14,15:11:20.684411,clean-corona-virus.co.il
2020-03-14,15:11:20.684411,cleancoronavirus.com
2020-03-14,15:11:20.684411,combat-coronavirus.com
2020-03-14,15:11:20.684411,*.comosobreviviralcoronavirus.com
2020-03-14,15:11:20.684411,contraelcoronavirusajedrez.com
2020-03-14,15:11:20.684411,coronavirus19forum.iphonetechstore.com
2020-03-14,15:11:20.684411,coronavirus2019.info
2020-03-14,15:11:20.684411,*.coronavirus-ahora.com
2020-03-14,15:11:20.684411,coronavirusandchill.com
2020-03-14,15:11:20.684411,coronavirus.benkyou.com.br
2020-03-14,15:11:20.684411,coronavirus.bolivia.bo
2020-03-14,15:11:20.684411,coronavirusbuy.com
2020-03-14,15:11:20.684411,coronavirus-calculator.com
2020-03-14,15:11:20.684411,coronaviruscallcenter.com
2020-03-14,15:11:20.684411,coronavirus.caravanasosito.com
2020-03-14,15:11:20.684411,coronaviruscasinos.com
2020-03-14,15:11:20.684411,*.coronaviruscefalu.it
2020-03-14,15:11:20.684411,coronaviruscefalu.it
2020-03-14,15:11:20.684411,coronavirus.c-estrategia.com
2020-03-14,15:11:20.684411,coronaviruscheck.us
2020-03-14,15:11:20.684411,coronaviruscommunityassistance.com
2020-03-14,15:11:20.684411,corona-virus.com.uy
2020-03-14,15:11:20.684411,coronavirus-covid-19-aktuell.de
2020-03-14,15:11:20.684411,coronavirus-covid19.de
2020-03-14,15:11:20.684411,coronavirus-covid-19.press
2020-03-14,15:11:20.684411,coronavirusdating.com
2020-03-14,15:11:20.684411,coronavirusdecontaminationservices.com
2020-03-14,15:11:20.684411,coronavirus.demos.oxusmedia.com
2020-03-14,15:11:20.684411,*.coronavirusdesign.net
2020-03-14,15:11:20.684411,coronavirusdesinfectante.com
2020-03-14,15:11:20.684411,coronavirusdiseasedailyupdates.com
2020-03-14,15:11:20.684411,coronavirus.dpvtransportation.com
